,alcohol,fixedacidity,pH,volatileacidity,freesulfurdioxide,totalsulfurdioxide,residualsugar,type,cat
1398,10.2,7.0,3.52,0.6,13.0,28.0,2.2,1,2
1399,11.1,7.2,3.42,0.67,10.0,24.0,2.2,1,1
1400,9.9,7.9,3.25,0.69,33.0,141.0,2.1,1,1
1401,9.9,7.9,3.25,0.69,33.0,141.0,2.1,1,1
1402,11.9,7.6,3.44,0.3,6.0,24.0,2.0,1,1
1403,10.0,7.2,3.23,0.33,3.0,13.0,1.7,1,2
1404,10.7,8.0,3.43,0.5,12.0,46.0,2.6,1,1
1405,11.3,7.7,3.28,0.28,18.0,34.0,2.0,1,2
1406,10.9,8.2,3.22,0.24,8.0,22.0,5.1,1,1
1407,10.7,6.0,3.54,0.51,40.0,54.0,2.1,1,1
1408,12.4,8.1,3.27,0.29,35.0,53.0,2.2,1,2
1409,10.7,6.0,3.54,0.51,40.0,54.0,2.1,1,1
1410,11.9,6.6,3.5,0.96,5.0,16.0,1.8,1,1
1411,10.6,6.4,3.56,0.47,8.0,19.0,2.4,1,1
1412,10.9,8.2,3.22,0.24,8.0,22.0,5.1,1,1
1413,10.1,9.9,3.04,0.57,12.0,89.0,2.0,1,1
1414,9.6,10.0,3.2,0.32,3.0,15.0,2.2,1,1
1415,9.4,6.2,3.56,0.58,8.0,18.0,1.6,1,1
1416,9.6,10.0,3.2,0.32,3.0,15.0,2.2,1,1
1417,12.1,7.3,3.35,0.34,21.0,37.0,2.5,1,2
1418,9.8,7.8,3.16,0.53,3.0,19.0,1.6,1,1
1419,9.9,7.7,3.27,0.64,32.0,133.0,2.2,1,1
1420,9.8,7.8,3.16,0.53,3.0,19.0,1.6,1,1
1421,9.4,7.5,3.34,0.4,24.0,58.0,1.6,1,1
1422,11.4,7.0,3.39,0.54,39.0,55.0,2.1,1,1
1423,11.0,6.4,3.5,0.53,14.0,31.0,3.9,1,0
1424,9.6,8.3,3.26,0.26,8.0,23.0,1.4,1,1
1425,9.6,8.3,3.26,0.26,8.0,23.0,1.4,1,1
1426,12.1,7.7,3.41,0.23,23.0,60.0,1.8,1,1
1427,11.2,7.6,3.3,0.41,6.0,23.0,2.5,1,1
1428,11.0,7.8,3.31,0.64,27.0,55.0,1.9,1,1
1429,11.3,7.9,3.33,0.18,38.0,67.0,2.2,1,1
1430,10.4,7.4,3.37,0.41,18.0,47.0,1.8,1,1
1431,9.9,7.6,3.26,0.43,13.0,74.0,2.1,1,1
1432,11.7,5.9,3.48,0.44,3.0,11.0,1.6,1,1
1433,10.1,6.1,3.42,0.4,11.0,25.0,1.8,1,2
1434,9.0,10.2,3.18,0.54,55.0,95.0,15.4,1,1
1435,9.0,10.2,3.18,0.54,55.0,95.0,15.4,1,1
1436,8.5,10.0,3.15,0.38,27.0,90.0,1.6,1,1
1437,11.1,6.8,3.53,0.915,15.0,39.0,4.8,1,1
1438,10.3,7.0,3.41,0.59,3.0,8.0,1.7,1,1
1439,11.066666666666698,7.3,3.32,0.67,31.0,92.0,2.2,1,1
1440,11.3,7.2,3.23,0.37,15.0,28.0,2.0,1,2
1441,9.56666666666667,7.4,3.16,0.785,19.0,98.0,5.2,1,1
1442,9.8,6.9,3.4,0.63,18.0,30.0,1.9,1,1
1443,11.7,6.9,3.38,0.58,8.0,22.0,1.75,1,1
1444,11.1,7.3,3.32,0.67,31.0,92.0,2.2,1,1
1445,9.6,7.4,3.16,0.785,19.0,98.0,5.2,1,1
1446,9.8,6.9,3.4,0.63,18.0,30.0,1.9,1,1
1447,9.7,6.8,3.4,0.67,22.0,39.0,1.9,1,1
1448,9.7,6.9,3.4,0.58,40.0,54.0,1.9,1,1
1449,11.3,7.2,3.23,0.38,15.0,29.0,2.0,1,2
1450,11.3,7.2,3.23,0.37,15.0,28.0,2.0,1,2
1451,11.0,7.8,3.33,0.32,8.0,17.0,2.7,1,2
1452,11.6,6.6,3.35,0.58,37.0,53.0,2.0,1,2
1453,9.0,7.6,3.41,0.49,27.0,85.0,1.9,1,1
1454,10.9,11.7,3.21,0.45,7.0,23.0,2.2,1,1
1455,10.9,6.5,3.5,0.9,9.0,17.0,1.6,1,1
1456,10.55,6.0,3.3,0.54,38.0,89.0,1.8,1,1
1457,9.0,7.6,3.41,0.49,27.0,85.0,1.9,1,1
1458,10.5,8.4,3.39,0.29,8.0,20.0,1.7,1,1
1459,11.9,7.9,3.32,0.2,7.0,15.0,1.7,1,2
1460,10.4,6.4,3.41,0.42,34.0,64.0,2.3,1,1
1461,10.0,6.2,3.59,0.785,6.0,13.0,2.1,1,0
1462,10.4,6.8,3.36,0.64,14.0,31.0,2.3,1,1
1463,10.8,6.9,3.34,0.63,14.0,39.0,2.4,1,1
1464,9.7,6.8,3.41,0.59,34.0,53.0,1.7,1,1
1465,9.7,6.8,3.41,0.59,34.0,53.0,1.7,1,1
1466,10.0,7.3,3.3,0.48,31.0,54.0,2.1,1,2
1467,11.0,6.7,3.52,1.04,19.0,32.0,2.3,1,0
1468,10.0,7.3,3.3,0.48,31.0,54.0,2.1,1,2
1469,9.7,7.3,3.31,0.98,20.0,49.0,2.1,1,0
1470,9.7,10.0,2.88,0.69,8.0,24.0,1.4,1,1
1471,12.6,6.7,3.43,0.7,8.0,16.0,3.75,1,1
1472,11.1,7.6,3.38,0.35,23.0,44.0,2.6,1,1
1473,11.0,6.1,3.38,0.6,14.0,45.0,1.8,1,1
1474,8.8,9.9,3.16,0.5,48.0,82.0,13.8,1,1
1475,13.566666666666698,5.3,3.54,0.47,16.0,89.0,2.2,1,2
1476,8.8,9.9,3.16,0.5,48.0,82.0,13.8,1,1
1477,13.6,5.3,3.54,0.47,16.0,89.0,2.2,1,2
1478,10.2,7.1,3.4,0.875,3.0,14.0,5.7,1,0
1479,10.6,8.2,3.39,0.28,10.0,22.0,3.0,1,1
1480,10.1,5.6,3.66,0.62,6.0,13.0,1.5,1,0
1481,10.6,8.2,3.39,0.28,10.0,22.0,3.0,1,1
1482,10.3,7.2,3.33,0.58,3.0,9.0,2.1,1,0
1483,10.7,8.1,3.35,0.33,6.0,12.0,1.5,1,1
1484,10.9,6.8,3.53,0.91,4.0,11.0,2.0,1,0
1485,9.7,7.0,3.37,0.655,8.0,25.0,2.1,1,1
1486,10.3,6.8,3.38,0.68,9.0,23.0,2.1,1,1
1487,10.6,6.0,3.52,0.64,9.0,17.0,1.9,1,1
1488,11.4,5.6,3.72,0.54,5.0,13.0,1.7,1,1
1489,10.8,6.2,3.44,0.57,4.0,11.0,2.1,1,1
1490,12.4,7.1,3.39,0.22,8.0,18.0,1.8,1,1
1491,11.4,5.6,3.72,0.54,5.0,13.0,1.7,1,1
1492,11.95,6.2,3.57,0.65,6.0,18.0,1.6,1,1
1493,9.7,7.7,3.26,0.54,23.0,147.0,1.9,1,1
1494,10.0,6.4,3.42,0.31,15.0,28.0,1.4,1,2
1495,10.6,7.0,3.35,0.43,15.0,28.0,1.9,1,1
1496,9.7,7.7,3.26,0.54,23.0,147.0,1.9,1,1
1497,11.5,6.9,3.45,0.74,7.0,16.0,2.3,1,1
1498,10.8,6.6,3.53,0.895,7.0,13.0,2.3,1,1
1499,11.5,6.9,3.45,0.74,7.0,16.0,2.3,1,1
1500,9.6,7.5,3.26,0.725,8.0,15.0,1.5,1,1
1501,9.4,7.8,3.16,0.82,21.0,64.0,4.3,1,1
1502,9.8,7.3,3.31,0.585,15.0,60.0,2.4,1,1
1503,11.0,6.2,3.51,0.44,6.0,14.0,2.5,1,1
1504,11.4,7.5,3.36,0.38,5.0,12.0,2.3,1,1
1505,9.95,6.7,3.55,0.76,6.0,12.0,1.8,1,0
1506,10.8,6.8,3.51,0.81,6.0,14.0,2.0,1,1
1507,11.4,7.5,3.36,0.38,5.0,12.0,2.3,1,1
1508,10.6,7.1,3.38,0.27,17.0,25.0,2.1,1,1
1509,11.1,7.9,3.28,0.18,7.0,20.0,1.8,1,1
1510,9.7,6.4,3.47,0.36,26.0,48.0,2.2,1,1
1511,9.8,7.1,3.44,0.69,19.0,27.0,2.1,1,1
1512,10.4,6.4,3.53,0.79,11.0,17.0,2.2,1,1
1513,10.5,6.4,3.33,0.56,17.0,65.0,1.8,1,1
1514,9.23333333333333,6.9,3.53,0.84,16.0,65.0,4.1,1,1
1515,9.25,6.9,3.53,0.84,16.0,65.0,4.1,1,1
1516,10.6,6.1,3.42,0.32,23.0,58.0,2.3,1,1
1517,10.3,6.5,3.38,0.53,29.0,44.0,2.0,1,1
1518,10.5,7.4,3.32,0.47,7.0,20.0,2.2,1,1
1519,10.2,6.6,3.44,0.7,14.0,27.0,2.6,1,1
1520,10.3,6.5,3.38,0.53,29.0,44.0,2.0,1,1
1521,9.05,6.9,3.39,0.48,9.0,23.0,1.9,1,0
1522,10.6,6.1,3.42,0.32,23.0,58.0,2.3,1,1
1523,10.4,6.8,3.34,0.48,29.0,61.0,2.0,1,1
1524,10.0,6.0,3.39,0.42,22.0,47.0,2.0,1,1
1525,9.7,6.7,3.33,0.48,18.0,34.0,2.1,1,1
1526,9.6,6.8,3.3,0.47,18.0,38.0,2.2,1,1
1527,10.8,7.1,3.29,0.53,15.0,24.0,1.7,1,1
1528,10.1,7.9,3.31,0.29,21.0,59.0,2.2,1,1
1529,10.2,7.1,3.42,0.69,42.0,52.0,2.1,1,1
1530,11.3,6.6,3.42,0.44,9.0,18.0,2.2,1,1
1531,10.2,6.1,3.6,0.705,13.0,28.0,2.8,1,1
1532,9.9,7.2,3.21,0.53,18.0,22.0,2.0,1,1
1533,9.0,8.0,3.39,0.39,32.0,84.0,1.9,1,1
1534,11.7,6.6,3.42,0.56,13.0,29.0,2.4,1,2
1535,9.7,7.0,3.36,0.55,15.0,35.0,2.2,1,1
1536,10.3,6.1,3.6,0.53,24.0,45.0,1.9,1,1
1537,10.2,5.4,3.5,0.58,20.0,31.0,1.9,1,1
1538,12.0,6.2,3.57,0.64,15.0,26.0,2.5,1,1
1539,9.9,7.2,3.46,0.39,34.0,60.0,1.8,1,1
1540,11.6,6.2,3.56,0.52,11.0,32.0,4.4,1,1
1541,10.9,7.4,3.4,0.25,19.0,49.0,2.2,1,2
1542,10.75,6.7,3.3,0.855,29.0,38.0,1.9,1,1
1543,10.4,11.1,3.25,0.44,14.0,19.0,2.2,1,1
1544,11.2,8.4,3.17,0.37,12.0,19.0,2.3,1,2
1545,10.1,6.5,3.36,0.63,16.0,28.0,1.8,1,1
1546,10.2,7.0,3.36,0.57,17.0,26.0,2.0,1,1
1547,12.1,6.3,3.55,0.6,12.0,26.0,1.6,1,1
1548,10.4,11.2,3.1,0.4,19.0,50.0,2.0,1,1
1549,11.4,7.4,3.24,0.36,17.0,24.0,1.8,1,2
1550,9.5,7.1,3.45,0.68,17.0,26.0,2.3,1,1
1551,9.4,7.1,3.44,0.67,18.0,27.0,2.3,1,1
1552,11.3,6.3,3.51,0.68,32.0,54.0,3.7,1,1
1553,9.4,7.3,3.41,0.735,18.0,28.0,2.2,1,1
1554,11.0,6.6,3.54,0.855,15.0,23.0,2.4,1,1
1555,10.55,7.0,3.44,0.56,15.0,24.0,1.7,1,2
1556,9.9,6.6,3.53,0.88,12.0,20.0,2.2,1,1
1557,11.0,6.6,3.54,0.855,15.0,23.0,2.4,1,1
1558,9.5,6.9,3.22,0.63,66.0,115.0,6.7,1,1
1559,9.9,7.8,3.21,0.6,31.0,131.0,2.0,1,1
1560,9.9,7.8,3.21,0.6,31.0,131.0,2.0,1,1
1561,9.9,7.8,3.21,0.6,31.0,131.0,2.0,1,1
1562,10.1,7.2,3.29,0.695,12.0,20.0,2.0,1,1
1563,10.1,7.2,3.29,0.695,12.0,20.0,2.0,1,1
1564,10.1,7.2,3.29,0.695,12.0,20.0,2.0,1,1
1565,10.9,6.7,3.39,0.67,26.0,42.0,1.9,1,1
1566,11.2,6.7,3.34,0.16,24.0,52.0,2.1,1,1
1567,10.1,7.2,3.29,0.695,12.0,20.0,2.0,1,1
1568,9.2,7.0,3.34,0.56,25.0,42.0,1.6,1,1
1569,11.5,6.2,3.48,0.51,15.0,34.0,1.9,1,1
1570,12.4,6.4,3.37,0.36,19.0,35.0,2.2,1,1
1571,11.1,6.4,3.44,0.38,15.0,25.0,2.2,1,1
1572,9.5,7.3,3.33,0.69,35.0,104.0,2.2,1,1
1573,12.5,6.0,3.58,0.58,15.0,50.0,2.4,1,1
1574,10.5,5.6,3.39,0.31,23.0,92.0,13.9,1,1
1575,11.8,7.5,3.26,0.52,12.0,20.0,2.2,1,1
1576,10.8,8.0,3.3,0.3,16.0,29.0,1.6,1,1
1577,11.9,6.2,3.54,0.7,13.0,27.0,5.1,1,1
1578,11.3,6.8,3.42,0.67,13.0,20.0,1.8,1,1
1579,11.3,6.2,3.54,0.56,24.0,32.0,1.7,1,1
1580,11.9,7.4,3.36,0.35,9.0,26.0,2.4,1,1
1581,11.3,6.2,3.54,0.56,24.0,32.0,1.7,1,1
1582,11.9,6.1,3.57,0.715,13.0,27.0,2.6,1,1
1583,9.8,6.2,3.33,0.46,32.0,98.0,2.1,1,1
1584,11.6,6.7,3.29,0.32,24.0,34.0,2.4,1,2
1585,11.5,7.2,3.3,0.39,22.0,48.0,2.6,1,1
1586,11.4,7.5,3.34,0.31,34.0,60.0,2.4,1,1
1587,10.9,5.8,3.55,0.61,18.0,28.0,1.8,1,1
1588,12.8,7.2,3.27,0.66,34.0,102.0,2.5,1,1
1589,9.2,6.6,3.29,0.725,29.0,79.0,7.8,1,1
1590,11.6,6.3,3.32,0.55,26.0,35.0,1.8,1,1
1591,11.6,5.4,3.67,0.74,16.0,26.0,1.7,1,1
1592,11.0,6.3,3.42,0.51,29.0,40.0,2.3,1,1
1593,9.5,6.8,3.42,0.62,28.0,38.0,1.9,1,1
1594,10.5,6.2,3.45,0.6,32.0,44.0,2.0,1,1
1595,11.2,5.9,3.52,0.55,39.0,51.0,2.2,1,1
1596,11.0,6.3,3.42,0.51,29.0,40.0,2.3,1,1
1597,10.2,5.9,3.57,0.645,32.0,44.0,2.0,1,1
1598,11.0,6.0,3.39,0.31,18.0,42.0,3.6,1,1
0,8.8,7.0,3.0,0.27,45.0,170.0,20.7,0,1
1,9.5,6.3,3.3,0.3,14.0,132.0,1.6,0,1
2,10.1,8.1,3.26,0.28,30.0,97.0,6.9,0,1
3,9.9,7.2,3.19,0.23,47.0,186.0,8.5,0,1
4,9.9,7.2,3.19,0.23,47.0,186.0,8.5,0,1
5,10.1,8.1,3.26,0.28,30.0,97.0,6.9,0,1
6,9.6,6.2,3.18,0.32,30.0,136.0,7.0,0,1
7,8.8,7.0,3.0,0.27,45.0,170.0,20.7,0,1
8,9.5,6.3,3.3,0.3,14.0,132.0,1.6,0,1
9,11.0,8.1,3.22,0.22,28.0,129.0,1.5,0,1
10,12.0,8.1,2.99,0.27,11.0,63.0,1.45,0,1
11,9.7,8.6,3.14,0.23,17.0,109.0,4.2,0,1
12,10.8,7.9,3.18,0.18,16.0,75.0,1.2,0,1
13,12.4,6.6,3.54,0.16,48.0,143.0,1.5,0,2
14,9.7,8.3,2.98,0.42,41.0,172.0,19.25,0,1
15,11.4,6.6,3.25,0.17,28.0,112.0,1.5,0,2
16,9.6,6.3,3.24,0.48,30.0,99.0,1.1,0,1
17,12.8,6.2,3.33,0.66,29.0,75.0,1.2,0,2
18,11.3,7.4,3.12,0.34,17.0,171.0,1.1,0,1
19,9.5,6.5,3.22,0.31,34.0,133.0,7.5,0,1
20,12.8,6.2,3.33,0.66,29.0,75.0,1.2,0,2
21,11.0,6.4,3.17,0.31,19.0,102.0,2.9,0,2
22,10.5,6.8,3.47,0.26,41.0,122.0,1.7,0,2
23,9.3,7.6,3.05,0.67,25.0,168.0,1.5,0,1
24,10.0,6.6,3.42,0.27,16.0,142.0,1.3,0,1
25,10.4,7.0,3.25,0.25,56.0,245.0,9.0,0,1
26,10.0,6.9,3.45,0.24,35.0,146.0,1.0,0,1
27,10.5,7.0,3.38,0.28,32.0,141.0,8.7,0,1
28,11.6,7.4,3.19,0.27,17.0,132.0,1.1,0,1
29,12.3,7.2,3.1,0.32,37.0,114.0,2.0,0,2
30,10.0,8.5,3.2,0.24,20.0,142.0,10.4,0,1
31,10.2,8.3,3.47,0.14,7.0,47.0,1.1,0,1
32,10.8,7.4,3.19,0.25,31.0,100.0,2.05,0,1
33,9.0,6.2,3.42,0.12,43.0,117.0,1.5,0,1
34,10.2,5.8,3.37,0.27,22.0,179.0,14.95,0,1
35,12.8,7.3,3.19,0.28,21.0,123.0,1.7,0,1
36,10.0,6.5,3.24,0.39,25.0,149.0,5.4,0,1
37,11.2,7.0,3.13,0.33,38.0,138.0,1.2,0,1
38,8.6,7.3,3.21,0.24,45.0,149.0,17.95,0,1
39,8.6,7.3,3.21,0.24,45.0,149.0,17.95,0,1
40,9.4,6.7,3.11,0.23,63.0,158.0,2.5,0,1
41,9.4,6.7,3.1,0.24,63.0,157.0,2.9,0,1
42,9.8,7.0,3.13,0.31,28.0,160.0,7.4,0,1
43,9.5,6.6,3.22,0.24,33.0,152.0,1.4,0,1
44,9.5,6.7,3.24,0.23,33.0,154.0,1.4,0,1
45,10.0,7.4,3.16,0.18,38.0,167.0,1.4,0,2
46,9.8,6.2,3.27,0.45,63.0,206.0,4.4,0,0
47,9.8,6.2,3.25,0.46,62.0,207.0,4.4,0,1
48,9.8,7.0,3.13,0.31,28.0,160.0,7.4,0,1
49,9.8,6.9,3.36,0.19,32.0,150.0,5.0,0,1
50,11.7,7.2,3.35,0.19,31.0,173.0,1.6,0,1
51,11.0,6.6,3.34,0.25,39.0,124.0,1.1,0,2
52,10.9,6.2,3.32,0.16,21.0,82.0,1.1,0,2
53,10.9,6.4,3.31,0.18,39.0,108.0,1.0,0,1
54,9.1,6.8,3.05,0.2,38.0,132.0,0.9,0,1
55,11.0,6.9,3.13,0.25,29.0,191.0,1.3,0,1
56,9.6,7.2,3.09,0.21,37.0,213.0,11.9,0,1
57,8.9,6.0,3.3,0.19,50.0,147.0,12.4,0,1
58,10.2,6.6,3.11,0.38,25.0,78.0,4.6,0,1
59,9.9,7.4,3.36,0.2,44.0,111.0,1.2,0,1
60,8.6,6.8,3.03,0.22,30.0,123.0,4.9,0,1
61,8.9,6.0,3.3,0.19,50.0,147.0,12.4,0,1
62,10.5,7.0,3.02,0.47,17.0,151.0,1.1,0,1
63,10.2,6.6,3.11,0.38,25.0,78.0,4.6,0,1
64,10.3,7.2,3.15,0.24,31.0,122.0,1.4,0,1
65,9.1,6.2,3.22,0.35,29.0,120.0,1.2,0,1
66,12.6,6.4,3.22,0.26,27.0,124.0,6.4,0,2
67,9.8,6.7,3.14,0.25,81.0,174.0,1.2,0,1
68,10.7,6.7,3.33,0.23,30.0,96.0,2.1,0,2
69,9.5,7.4,3.13,0.24,21.0,105.0,10.1,0,1
70,9.0,6.2,3.1,0.27,48.0,244.0,7.8,0,1
71,9.5,6.8,3.32,0.3,50.5,238.5,4.6,0,1
72,10.0,6.0,3.69,0.27,31.0,201.0,4.8,0,1
73,9.1,8.6,2.95,0.23,9.0,72.0,1.0,0,1
74,10.7,6.7,3.33,0.23,30.0,96.0,2.1,0,2
75,9.5,7.4,3.13,0.24,21.0,105.0,10.1,0,1
76,12.7,7.1,3.26,0.18,31.0,87.0,1.4,0,2
77,12.0,7.0,3.31,0.32,20.0,69.0,1.3,0,2
78,9.3,7.4,2.94,0.18,26.0,103.0,8.8,0,1
79,9.0,6.7,3.27,0.54,21.0,105.0,5.4,0,1
80,10.6,6.8,3.39,0.22,34.0,114.0,1.4,0,1
81,9.2,7.1,3.21,0.2,51.0,166.0,16.0,0,1
82,10.0,7.1,3.17,0.34,47.0,164.0,6.1,0,1
83,9.5,7.3,3.33,0.22,42.0,207.0,8.2,0,1
84,8.7,7.1,3.11,0.43,54.0,155.0,11.8,0,1
85,8.7,7.1,3.12,0.44,52.0,152.0,11.8,0,1
86,8.7,7.2,3.09,0.39,55.0,156.0,11.0,0,1
87,9.7,6.8,3.22,0.25,69.0,202.0,13.3,0,1
88,8.7,7.1,3.11,0.43,54.0,155.0,11.8,0,1
89,8.7,7.1,3.12,0.44,52.0,152.0,11.8,0,1
90,8.7,7.2,3.09,0.39,55.0,156.0,11.0,0,1
91,9.0,6.1,3.12,0.27,65.0,243.0,7.5,0,1
92,12.6,6.9,3.26,0.24,47.0,136.0,1.7,0,2
93,12.6,6.9,3.25,0.21,48.0,136.0,1.8,0,2
94,11.5,7.5,3.21,0.17,51.0,148.0,1.7,0,2
95,9.2,7.1,3.04,0.26,62.0,240.0,12.4,0,1
96,8.8,6.0,3.14,0.34,26.0,164.0,15.9,0,1
97,11.4,8.6,2.95,0.265,15.0,80.0,1.2,0,2
98,10.1,9.8,2.89,0.36,4.0,83.0,10.5,0,0
99,8.8,6.0,3.14,0.34,26.0,164.0,15.9,0,1
100,9.1,7.4,3.0,0.25,52.0,192.0,13.5,0,1
101,9.4,7.1,3.4,0.12,64.0,162.0,9.6,0,1
102,9.4,6.0,3.34,0.21,55.0,164.0,12.1,0,1
103,9.0,7.5,2.99,0.305,44.0,170.0,18.9,0,1
104,9.1,7.4,3.0,0.25,52.0,192.0,13.5,0,1
105,9.2,7.3,3.2,0.13,34.0,109.0,14.4,0,1
106,9.4,7.1,3.4,0.12,64.0,162.0,9.6,0,1
107,9.1,7.1,3.16,0.23,60.0,171.0,16.5,0,1
108,9.1,7.1,3.16,0.23,60.0,171.0,16.5,0,1
109,10.3,6.9,3.27,0.33,37.0,187.0,1.3,0,1
110,8.8,6.5,2.89,0.17,64.0,163.0,8.5,0,1
111,8.9,7.2,3.04,0.27,45.0,255.0,18.75,0,1
112,9.2,7.2,3.01,0.31,68.0,195.0,13.3,0,1
113,9.1,6.7,3.22,0.41,29.0,150.0,9.2,0,1
114,9.1,6.7,3.22,0.41,29.0,150.0,9.2,0,1
115,9.7,5.5,3.63,0.485,8.0,103.0,1.5,0,0
116,11.3,6.0,3.31,0.31,25.0,143.0,3.3,0,1
117,11.8,7.0,3.19,0.14,16.0,85.0,1.7,0,1
118,9.2,7.2,3.01,0.31,68.0,195.0,13.3,0,1
119,9.2,7.3,3.04,0.32,57.0,196.0,13.3,0,1
120,10.2,5.9,3.22,0.36,21.0,87.0,5.7,0,1
121,8.8,7.8,3.01,0.24,42.0,138.0,12.2,0,1
122,9.7,7.4,3.29,0.16,31.0,131.0,6.85,0,1
123,9.1,6.9,3.29,0.19,14.0,146.0,5.0,0,1
124,9.8,6.4,3.21,0.13,40.0,158.0,1.6,0,1
125,11.0,6.7,3.27,0.19,63.0,143.0,1.1,0,1
126,10.5,7.4,3.14,0.39,29.0,126.0,7.0,0,1
127,9.7,6.5,3.45,0.24,48.0,203.0,7.6,0,2
128,10.9,6.1,3.3,0.3,47.0,179.0,2.8,0,2
129,10.9,6.1,3.31,0.3,46.0,184.0,2.7,0,1
130,10.6,5.7,3.39,0.26,7.0,57.0,10.4,0,1
131,9.7,6.5,3.45,0.24,48.0,203.0,7.6,0,2
132,9.0,6.5,3.23,0.425,59.0,241.0,13.1,0,1
133,9.2,6.6,3.24,0.24,46.0,188.0,15.8,0,1
134,8.9,6.8,3.19,0.27,55.0,203.0,8.1,0,1
135,9.6,6.7,3.26,0.27,44.0,179.0,15.7,0,1
136,10.7,8.2,3.12,0.23,36.0,121.0,1.2,0,1
137,8.7,7.1,3.16,0.37,49.0,155.0,10.5,0,1
138,10.8,6.8,3.15,0.19,30.0,96.0,1.9,0,2
139,11.8,8.1,3.23,0.28,18.0,79.0,1.9,0,1
140,10.2,6.3,3.3,0.31,20.0,77.0,2.2,0,1
141,8.7,7.1,3.16,0.37,49.0,155.0,10.5,0,1
142,10.8,7.9,3.21,0.21,38.0,107.0,1.2,0,1
143,9.7,8.5,3.18,0.21,24.0,99.0,4.3,0,1
144,11.2,8.1,3.12,0.2,19.0,87.0,2.0,0,1
145,10.9,6.3,3.0,0.255,37.0,114.0,1.1,0,1
146,10.1,5.6,3.28,0.16,53.0,168.0,1.4,0,1
147,9.0,6.4,3.38,0.595,15.0,97.0,5.2,0,0
148,12.0,6.3,3.38,0.34,19.0,80.0,4.6,0,2
149,9.4,6.9,2.99,0.25,23.0,116.0,4.1,0,1
150,11.5,7.9,3.12,0.22,46.0,152.0,8.0,0,2
151,9.9,7.6,3.14,0.18,58.0,135.0,10.2,0,1
152,9.4,6.9,2.99,0.25,23.0,116.0,4.1,0,1
153,10.4,7.2,3.14,0.18,41.0,97.0,1.2,0,1
154,9.7,8.2,3.06,0.23,12.0,76.0,7.5,0,1
155,8.9,7.4,2.89,0.24,48.0,198.0,14.0,0,1
156,8.9,7.4,2.89,0.24,48.0,198.0,14.0,0,1
157,12.4,6.1,3.29,0.32,38.0,124.0,1.5,0,2
158,12.1,5.2,3.36,0.44,43.0,119.0,1.4,0,2
159,12.1,5.2,3.36,0.44,43.0,119.0,1.4,0,2
160,12.4,6.1,3.29,0.32,38.0,124.0,1.5,0,2
161,9.1,6.4,2.98,0.22,27.0,159.0,14.5,0,1
162,10.6,6.3,3.28,0.36,14.0,85.0,4.8,0,1
163,8.9,7.4,2.89,0.24,48.0,198.0,14.0,0,1
164,9.5,6.7,3.15,0.24,64.0,205.0,13.1,0,1
165,9.8,7.0,3.16,0.23,72.0,177.0,13.0,0,1
166,9.6,8.4,3.14,0.27,39.0,197.0,8.7,0,1
167,12.6,6.7,3.08,0.46,25.0,98.0,2.4,0,2
168,9.3,7.5,3.08,0.29,20.0,151.0,8.95,0,1
169,10.0,9.8,2.87,0.42,5.0,110.0,9.85,0,1
170,12.7,7.1,3.12,0.3,29.0,133.0,1.5,0,1
171,11.0,7.9,3.13,0.19,17.0,96.0,1.5,0,1
172,11.4,7.6,3.03,0.48,4.0,100.0,0.8,0,0
173,11.5,6.3,3.35,0.22,31.0,130.0,4.55,0,2
174,10.2,7.5,3.09,0.27,33.0,173.0,17.7,0,1
175,11.4,6.9,3.11,0.23,50.0,151.0,7.5,0,1
176,12.6,7.2,3.03,0.32,19.0,65.0,5.1,0,0
177,9.4,5.9,3.28,0.23,57.0,170.0,12.9,0,1
178,8.7,6.0,3.11,0.67,9.0,108.0,1.2,0,0
179,9.2,6.4,3.19,0.25,41.0,176.0,5.5,0,1
180,9.3,6.4,3.19,0.33,42.0,173.0,5.5,0,1
181,9.2,7.1,3.09,0.34,61.0,183.0,1.2,0,1
182,8.7,6.8,2.93,0.28,48.0,167.0,22.0,0,1
183,9.6,6.9,3.18,0.27,64.0,227.0,14.0,0,1
184,9.3,6.8,3.02,0.26,64.0,226.0,11.9,0,1
185,9.3,6.8,3.02,0.29,66.0,230.0,11.9,0,1
186,9.9,6.7,3.12,0.24,49.0,166.0,9.4,0,1
187,11.0,5.9,3.15,0.3,42.0,119.0,4.2,0,1
188,12.7,6.8,3.26,0.53,26.0,109.0,3.8,0,2
189,8.9,6.5,3.09,0.28,54.0,210.0,8.5,0,0
190,8.9,6.6,3.09,0.28,55.0,211.0,8.5,0,1
191,8.7,6.8,2.93,0.28,48.0,167.0,22.0,0,1
192,11.4,6.8,3.02,0.28,28.0,123.0,8.0,0,1
193,9.6,6.6,3.36,0.15,34.0,125.0,5.1,0,1
194,9.1,6.4,3.02,0.29,75.0,181.0,3.6,0,1
195,9.1,6.4,3.02,0.3,76.0,180.0,3.5,0,1
196,9.1,6.4,3.01,0.29,75.0,183.0,3.6,0,1
197,8.9,6.8,3.13,0.26,54.0,214.0,7.8,0,1
198,8.8,7.1,3.1,0.32,52.0,204.0,13.1,0,1
199,8.9,6.8,3.13,0.26,54.0,214.0,7.8,0,1
200,9.3,6.8,3.15,0.27,55.0,196.0,16.1,0,1
201,8.8,7.1,3.1,0.32,52.0,204.0,13.1,0,1
